model_name,mode,camera,fusion_method,threshold_percentile,input_dim,train_count,test_count,test_correct_count,test_anomaly_count,threshold,dropout,weight_decay,best_epoch,best_val_loss,accuracy,precision,recall,f1,auc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,flagged_as_anomaly,total_test
small_no_dropout,single_camera,C10095,,80,4064,626,839,626,213,0.20219582319259644,0.0,0.0001,145,0.150123482012445,0.9034564958283671,0.8367346938775511,0.7699530516431925,0.8019559902200489,0.9637987670431535,594,32,49,164,0.051118210862619806,0.2300469483568075,196,839
small_no_dropout,single_camera,C10095,,85,4064,626,839,626,213,0.2285299301147461,0.0,0.0001,145,0.150123482012445,0.8831942789034565,0.852760736196319,0.6525821596244131,0.7393617021276596,0.9637987670431535,602,24,74,139,0.038338658146964855,0.3474178403755869,163,839
small_no_dropout,single_camera,C10095,,90,4064,626,839,626,213,0.24789659678936005,0.0,0.0001,145,0.150123482012445,0.8772348033373063,0.8873239436619719,0.5915492957746479,0.7098591549295775,0.9637987670431535,610,16,87,126,0.025559105431309903,0.4084507042253521,142,839
small_no_dropout,single_camera,C10118,,70,4064,626,839,626,213,0.19643953442573547,0.0,0.0001,110,0.17685643075757726,0.8939213349225268,0.7844036697247706,0.8028169014084507,0.7935034802784223,0.950719224827131,579,47,42,171,0.07507987220447285,0.19718309859154928,218,839
small_no_dropout,single_camera,C10118,,75,4064,626,839,626,213,0.2151799350976944,0.0,0.0001,110,0.17685643075757726,0.8820023837902264,0.796875,0.7183098591549296,0.7555555555555555,0.950719224827131,587,39,60,153,0.06230031948881789,0.28169014084507044,192,839
small_no_dropout,single_camera,C10118,,80,4064,626,839,626,213,0.2364826500415802,0.0,0.0001,110,0.17685643075757726,0.866507747318236,0.806060606060606,0.6244131455399061,0.7037037037037037,0.950719224827131,594,32,80,133,0.051118210862619806,0.3755868544600939,165,839
small_no_dropout,single_camera,C10118,,85,4064,626,839,626,213,0.2676306962966919,0.0,0.0001,110,0.17685643075757726,0.8414779499404053,0.8125,0.48826291079812206,0.6099706744868035,0.950719224827131,602,24,109,104,0.038338658146964855,0.5117370892018779,128,839
small_no_dropout,single_camera,C10118,,90,4064,626,839,626,213,0.30965346097946167,0.0,0.0001,110,0.17685643075757726,0.8081048867699643,0.8095238095238095,0.3192488262910798,0.45791245791245794,0.950719224827131,610,16,145,68,0.025559105431309903,0.6807511737089202,84,839
small_no_dropout,single_camera,C10119,,70,4064,626,839,626,213,0.17695854604244232,0.0,0.0001,126,0.1496411317093357,0.8974970202622169,0.7873303167420814,0.8169014084507042,0.8018433179723502,0.9537491187808427,579,47,39,174,0.07507987220447285,0.18309859154929578,221,839
small_no_dropout,single_camera,C10119,,75,4064,626,839,626,213,0.1934913545846939,0.0,0.0001,126,0.1496411317093357,0.8879618593563766,0.8020304568527918,0.7417840375586855,0.7707317073170732,0.9537491187808427,587,39,55,158,0.06230031948881789,0.25821596244131456,197,839
small_no_dropout,single_camera,C10119,,80,4064,626,839,626,213,0.21130172908306122,0.0,0.0001,126,0.1496411317093357,0.8784266984505363,0.8171428571428572,0.6713615023474179,0.7371134020618557,0.9537491187808427,594,32,70,143,0.051118210862619806,0.3286384976525822,175,839
small_no_dropout,single_camera,C10119,,85,4064,626,839,626,213,0.2354045957326889,0.0,0.0001,126,0.1496411317093357,0.8605482717520858,0.8333333333333334,0.5633802816901409,0.6722689075630253,0.9537491187808427,602,24,93,120,0.038338658146964855,0.43661971830985913,144,839
small_no_dropout,single_camera,C10119,,90,4064,626,839,626,213,0.2692094147205353,0.0,0.0001,126,0.1496411317093357,0.8283671036948749,0.8415841584158416,0.39906103286384975,0.5414012738853503,0.9537491187808427,610,16,128,85,0.025559105431309903,0.6009389671361502,101,839
small_no_dropout,single_camera,C10390,,70,4064,626,839,626,213,0.1592889279127121,0.0,0.0001,115,0.14221854991973584,0.8951132300357568,0.7853881278538812,0.8075117370892019,0.7962962962962963,0.9520766773162939,579,47,41,172,0.07507987220447285,0.19248826291079812,219,839
small_no_dropout,single_camera,C10390,,75,4064,626,839,626,213,0.19228921830654144,0.0,0.0001,115,0.14221854991973584,0.866507747318236,0.7790055248618785,0.6619718309859155,0.7157360406091371,0.9520766773162939,586,40,72,141,0.06389776357827476,0.3380281690140845,181,839
small_no_dropout,single_camera,C10390,,80,4064,626,839,626,213,0.20375852286815643,0.0,0.0001,115,0.14221854991973584,0.8617401668653158,0.8012422360248447,0.6056338028169014,0.6898395721925134,0.9520766773162939,594,32,84,129,0.051118210862619806,0.39436619718309857,161,839
small_no_dropout,single_camera,C10390,,85,4064,626,839,626,213,0.22178050875663757,0.0,0.0001,115,0.14221854991973584,0.8545887961859356,0.8273381294964028,0.539906103286385,0.6534090909090909,0.9520766773162939,602,24,98,115,0.038338658146964855,0.460093896713615,139,839
